title,subtitle,id,type,slug,url,status,date,is_premium,tier_pricing,author/id,author/slug,author/name,categories/0/id,categories/0/title,categories/0/slug,categories/0/description,categories/0/parent,tags/0/title,tags/0/slug,tags/1/title,tags/1/slug,tags/2/title,tags/2/slug,tags/3/title,tags/3/slug,tags/4/title,tags/4/slug,image/url,image/slug,image/title,image/description,image/caption,image/mime_type,image/meta/full/url,image/meta/full/width,image/meta/full/height,image/meta/thumbnail/url,image/meta/thumbnail/width,image/meta/thumbnail/height,image/meta/medium/url,image/meta/medium/width,image/meta/medium/height,image/meta/post-thumbnail/url,image/meta/post-thumbnail/width,image/meta/post-thumbnail/height,tags/5/title,tags/5/slug,tags/6/title,tags/6/slug,tags/7/title,tags/7/slug,tags/8/title,tags/8/slug,tags/9/title,tags/9/slug,tags/10/title,tags/10/slug,tags/11/title,tags/11/slug,categories/1/id,categories/1/title,categories/1/slug,categories/1/description,categories/1/parent,tags/12/title,tags/12/slug,tags/13/title,tags/13/slug,tags/14/title,tags/14/slug,tags/15/title,tags/15/slug,tags/16/title,tags/16/slug,tags/17/title,tags/17/slug,tags/18/title,tags/18/slug,tags/19/title,tags/19/slug,tags/20/title,tags/20/slug
10 Ide Peluang Usaha di Daerah Pedesaan,Beberapa peluang usaha konvensional yang cocok diterapkan di daerah pedesaan.,454869,post,ide-peluang-usaha-di-pedesaan,https://dailysocial.id/post/ide-peluang-usaha-di-pedesaan,publish,2022-04-29 19:59:10+00:00,false,,65477,alfida,Alfida Febrianna,79529,MSME Tutorial,bisnis-2,,0,UMKM,umkm,desa,desa,peluang usaha,peluang-usaha,pedesaan,pedesaan,perekonomian desa,perekonomian-desa,https://cms.dailysocial.id/wp-content/uploads/2022/04/floating-market-morning-inle-lake-shan-state-myanmar_130181-264.jpg,floating-market-morning-inle-lake-shan-state-myanmar_130181-264,,,,image/jpeg,https://cms.dailysocial.id/wp-content/uploads/2022/04/floating-market-morning-inle-lake-shan-state-myanmar_130181-264.jpg,740,494,https://cms.dailysocial.id/wp-content/uploads/floating-market-morning-inle-lake-shan-state-myanmar_130181-264-150x150.jpg,150,150,https://cms.dailysocial.id/wp-content/uploads/floating-market-morning-inle-lake-shan-state-myanmar_130181-264-300x200.jpg,300,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Semakin Lengkap, Bank Digital Jenius Mudahkan Pengguna Bayar Zakat dan Sedekah Online","Melalui fitur Send It, opsi zakat dan sedekah dilengkapi pula dengan pilihan lembaga amil yang tepercaya",455011,post,semakin-lengkap-bank-digital-jenius-mudahkan-pengguna-bayar-zakat-dan-sedekah-online,https://dailysocial.id/post/semakin-lengkap-bank-digital-jenius-mudahkan-pengguna-bayar-zakat-dan-sedekah-online,publish,2022-04-29 18:00:41+00:00,false,,40911,avids,Avi Tejo Bhaskoro,7269,Feature,feature,"Artikel bermateri khusus tentang startup, regulasi, dan ekosistem teknologi di Indonesia",30123,jenius,jenius,sedekah online,sedekah-online,pinarticle,pinarticle,,,,,https://cms.dailysocial.id/wp-content/uploads/2022/04/IMG_8150.jpg,img_8150,,,,image/jpeg,https://cms.dailysocial.id/wp-content/uploads/2022/04/IMG_8150-scaled.jpg,2560,1574,https://cms.dailysocial.id/wp-content/uploads/IMG_8150-150x150.jpg,150,150,https://cms.dailysocial.id/wp-content/uploads/IMG_8150-300x184.jpg,300,184,https://cms.dailysocial.id/wp-content/uploads/IMG_8150-825x510.jpg,825,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPrice Bantu UMKM Asia Tenggara Go Online melalui Program iPrice Sellers Club,iPrice Sellers Club hadir sebagai solusi dari iPrice Group untuk membantu pelaku usaha mikro dan menengah Indonesia.,454911,post,iprice-sellers-club,https://dailysocial.id/post/iprice-sellers-club,publish,2022-04-29 15:58:04+00:00,false,,65469,arnetta,Arnetta,79529,MSME Tutorial,bisnis-2,,0,Entrepreneur,entrepreneur,marketplace,marketplace,toko online,toko-online,online seller,online-seller,bisnis,bisnis,https://cms.dailysocial.id/wp-content/uploads/2022/04/iPrice-Sellers-Club-1.jpg,iprice-sellers-club-3,iPrice Sellers Club,,,image/jpeg,https://cms.dailysocial.id/wp-content/uploads/2022/04/iPrice-Sellers-Club-1-scaled.jpg,2560,1707,https://cms.dailysocial.id/wp-content/uploads/iPrice-Sellers-Club-1-150x150.jpg,150,150,https://cms.dailysocial.id/wp-content/uploads/iPrice-Sellers-Club-1-300x200.jpg,300,200,https://cms.dailysocial.id/wp-content/uploads/iPrice-Sellers-Club-1-825x510.jpg,825,510,UKM,ukm,UMKM,umkm,iPrice,iprice,berjualan online,berjualan-online,go digital,go-digital,usaha,usaha,iPrice Sellers Club,iprice-sellers-club,,,,,,,,,,,,,,,,,,,,,,,
"Saturdays Umumkan Pendanaan Seri A, Dipimpin oleh Altara Ventures",Pendanaan ini akan mempercepat ekspansi ke seluruh Indonesia dan memperkuat pengalaman omnichannel berbasis teknologi,454985,post,saturdays-pendanaan-seri-a,https://dailysocial.id/post/saturdays-pendanaan-seri-a,publish,2022-04-28 18:28:20+00:00,false,,6676,caitsena,Corry Anestia,9,Berita,news,"Berita dan informasi terbaru tentang startup, regulasi, dan ekosistem teknologi di Indonesia",30123,funding,funding,D2C,d2c,Series A,series-a,omnichannel,omnichannel,Rama Suparta,rama-suparta,https://cms.dailysocial.id/wp-content/uploads/2022/04/3-SATURDAYS-Co-Founder-2.jpg,3-saturdays-co-founder-2,(Ki-ka) Co-founder Saturdays Andrew Kandolha dan Rama Suparta / Saturdays,,(Ki-ka) Co-founder Saturdays Andrew Kandolha dan Rama Suparta / Saturdays,image/jpeg,https://cms.dailysocial.id/wp-content/uploads/2022/04/3-SATURDAYS-Co-Founder-2.jpg,1879,1194,https://cms.dailysocial.id/wp-content/uploads/3-SATURDAYS-Co-Founder-2-150x150.jpg,150,150,https://cms.dailysocial.id/wp-content/uploads/3-SATURDAYS-Co-Founder-2-300x191.jpg,300,191,https://cms.dailysocial.id/wp-content/uploads/3-SATURDAYS-Co-Founder-2-825x510.jpg,825,510,Saturdays,saturdays,direct to consumer,direct-to-consumer,Altara Ventures,altara-ventures,DSG Consumer Partners,dsg-consumer-partners,Pendanaan startup 2022,pendanaan-startup-2022,Startup funding 2022,startup-funding-2022,,,,,,,,,,,,,,,,,,,,,,,,,
Potensi Layanan E-commerce Dukung Pemulihan Ekonomi di Indonesia,Penjelasan mengenai tren dan prediksi industri e-commerce dari Co-Founder &amp; CEO Intrepid Indonesia Sean Lawlor,454735,post,potensi-layanan-e-commerce-dukung-pemulihan-ekonomi-di-indonesia,https://dailysocial.id/post/potensi-layanan-e-commerce-dukung-pemulihan-ekonomi-di-indonesia,publish,2022-04-28 15:48:52+00:00,false,,52,yenny,Yenny Yusra,7,Interview,interview,Interview/wawancara dengan pelaku industri startup dan ekosistem teknologi di Indonesia,30123,e-commerce,e-commerce,Social Commerce,social-commerce,layanan e-commerce,layanan-e-commerce,quick commerce,quick-commerce,intrepid indonesia,intrepid-indonesia,https://cms.dailysocial.id/wp-content/uploads/2022/04/sli-1.jpg,sli-1,Co-Founder & CEO Intrepid Indonesia Sean Lawlor,,Co-Founder & CEO Intrepid Indonesia Sean Lawlor,image/jpeg,https://cms.dailysocial.id/wp-content/uploads/2022/04/sli-1.jpg,1000,562,https://cms.dailysocial.id/wp-content/uploads/sli-1-150x150.jpg,150,150,https://cms.dailysocial.id/wp-content/uploads/sli-1-300x169.jpg,300,169,https://cms.dailysocial.id/wp-content/uploads/sli-1-825x510.jpg,825,510,sean lawlor,sean-lawlor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bukalapak Kantongi Laba Bersih 14,5 Triliun Rupiah di Kuartal Pertama 2022","Menunjukkan pertumbuhan positif dibandingkan periode sama tahun 2021 yang masih merugi -Rp323,8 miliar",454895,post,bukalapak-kantongi-laba-bersih-145-triliun-rupiah-di-kuartal-pertama-2022,https://dailysocial.id/post/bukalapak-kantongi-laba-bersih-145-triliun-rupiah-di-kuartal-pertama-2022,publish,2022-04-28 15:06:35+00:00,false,,6676,caitsena,Corry Anestia,9,Berita,news,"Berita dan informasi terbaru tentang startup, regulasi, dan ekosistem teknologi di Indonesia",30123,marketplace,marketplace,e-commerce,e-commerce,Bukalapak,bukalapak,financial report,financial-report,Mitra Bukalapak,mitra-bukalapak,https://cms.dailysocial.id/wp-content/uploads/2022/04/Bukalapak-Office-1.jpg,bukalapak-office-1,Bukalapak masih andalkan Mitra untuk sokong pertumbuhan / Bukalapak,,Bukalapak masih andalkan Mitra untuk sokong pertumbuhan / Bukalapak,image/jpeg,https://cms.dailysocial.id/wp-content/uploads/2022/04/Bukalapak-Office-1.jpg,1680,1120,https://cms.dailysocial.id/wp-content/uploads/Bukalapak-Office-1-150x150.jpg,150,150,https://cms.dailysocial.id/wp-content/uploads/Bukalapak-Office-1-300x200.jpg,300,200,https://cms.dailysocial.id/wp-content/uploads/Bukalapak-Office-1-825x510.jpg,825,510,pinarticle,pinarticle,BUKA,buka,Buka Pengadaan,buka-pengadaan,Kinerja Keuangan Bukalapak,kinerja-keuangan-bukalapak,AlloBank,allobank,,,,,74218,CORPORATE,corporate,,30123,,,,,,,,,,,,,,,,,,
Traveloka Terus Perluas Kerja Sama dengan Perbankan,"Tahun ini telah jajaki kerja sama strategis dengan Allo Bank, Bank Jago, hingga perkuat sinergi dengan BRI",454939,post,traveloka-terus-perluas-kerja-sama-dengan-perbankan,https://dailysocial.id/post/traveloka-terus-perluas-kerja-sama-dengan-perbankan,publish,2022-04-28 14:50:20+00:00,false,,36,randi,Randi Eka,9,Berita,news,"Berita dan informasi terbaru tentang startup, regulasi, dan ekosistem teknologi di Indonesia",30123,bank,bank,Traveloka,traveloka,BRI,bri,fintech,fintech,ota,ota,https://cms.dailysocial.id/wp-content/uploads/2022/04/Foto-1a-Traveloka-dan-BRI-Luncurkan-Fitur-Travel-di-Aplikasi-BRImo-19-Apr-2022.png,foto-1a-traveloka-dan-bri-luncurkan-fitur-travel-di-aplikasi-brimo-19-apr-2022,Peresmian sinergi lanjutan antara Traveloka dan BRI / Traveloka,,Peresmian sinergi lanjutan antara Traveloka dan BRI / Traveloka,image/png,https://cms.dailysocial.id/wp-content/uploads/2022/04/Foto-1a-Traveloka-dan-BRI-Luncurkan-Fitur-Travel-di-Aplikasi-BRImo-19-Apr-2022.png,900,506,https://cms.dailysocial.id/wp-content/uploads/Foto-1a-Traveloka-dan-BRI-Luncurkan-Fitur-Travel-di-Aplikasi-BRImo-19-Apr-2022-150x150.png,150,150,https://cms.dailysocial.id/wp-content/uploads/Foto-1a-Traveloka-dan-BRI-Luncurkan-Fitur-Travel-di-Aplikasi-BRImo-19-Apr-2022-300x169.png,300,169,https://cms.dailysocial.id/wp-content/uploads/Foto-1a-Traveloka-dan-BRI-Luncurkan-Fitur-Travel-di-Aplikasi-BRImo-19-Apr-2022-825x506.png,825,506,PayLater,paylater,digital bank,digital-bank,Bank Jago,bank-jago,Allo Bank,allo-bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leap, Cara Telkom Wujudkan Akselerasi Digitalisasi Indonesia","Fokus kembangkan kritikal sektor seperti agrikultur, UMKM, big data, pendidikan, dan logistik.",454811,post,leap-cara-telkom-wujudkan-akselerasi-digitalisasi-indonesia,https://dailysocial.id/post/leap-cara-telkom-wujudkan-akselerasi-digitalisasi-indonesia,publish,2022-04-27 14:21:14+00:00,false,,60044,devadailysocial-net,Deva,7269,Feature,feature,"Artikel bermateri khusus tentang startup, regulasi, dan ekosistem teknologi di Indonesia",30123,telkom,telkom,telkom indonesia,telkom-indonesia,leap,leap,muhamad fajrin rasyid,muhamad-fajrin-rasyid,pinarticle,pinarticle,https://cms.dailysocial.id/wp-content/uploads/2022/04/Leap-Cara-Telkom-Wujudkan-Akselerasi-Digital-Indonesia.png,leap-cara-telkom-wujudkan-akselerasi-digital-indonesia,,,,image/png,https://cms.dailysocial.id/wp-content/uploads/2022/04/Leap-Cara-Telkom-Wujudkan-Akselerasi-Digital-Indonesia.png,3001,1688,https://cms.dailysocial.id/wp-content/uploads/Leap-Cara-Telkom-Wujudkan-Akselerasi-Digital-Indonesia-150x150.png,150,150,https://cms.dailysocial.id/wp-content/uploads/Leap-Cara-Telkom-Wujudkan-Akselerasi-Digital-Indonesia-300x169.png,300,169,https://cms.dailysocial.id/wp-content/uploads/Leap-Cara-Telkom-Wujudkan-Akselerasi-Digital-Indonesia-825x510.png,825,510,Leap Digital,leap-digital,Akeselerasi,akeselerasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNI Gandeng Sea Group Jadi Mitra Teknologi Usai Rampungkan Akuisisi Bank Mayora,Juga membuka peluang bagi Sea Group untuk mengambil kepemilikan saham di Bank Mayora,454725,post,bni-gandeng-sea-group-jadi-mitra-teknologi-usai-rampungkan-akuisisi-bank-mayora,https://dailysocial.id/post/bni-gandeng-sea-group-jadi-mitra-teknologi-usai-rampungkan-akuisisi-bank-mayora,publish,2022-04-27 13:46:12+00:00,false,,6676,caitsena,Corry Anestia,9,Berita,news,"Berita dan informasi terbaru tentang startup, regulasi, dan ekosistem teknologi di Indonesia",30123,e-commerce,e-commerce,BNI,bni,Shopee,shopee,Bank Digital,bank-digital,digital bank,digital-bank,https://cms.dailysocial.id/wp-content/uploads/2022/04/2df0f5cc6e57469592da84e0b0fd4156_photo6077892346550267345-2-2.jpg,2df0f5cc6e57469592da84e0b0fd4156_photo6077892346550267345-2-2,Pemegang saham BNI telah memberi lampu hijau terhadap akuisisi Bank Mayora lewat RUPS Tahunan pada Maret 2022,,Pemegang saham BNI telah memberi lampu hijau terhadap akuisisi Bank Mayora lewat RUPS Tahunan pada Maret 2022,image/jpeg,https://cms.dailysocial.id/wp-content/uploads/2022/04/2df0f5cc6e57469592da84e0b0fd4156_photo6077892346550267345-2-2.jpg,1280,720,https://cms.dailysocial.id/wp-content/uploads/2df0f5cc6e57469592da84e0b0fd4156_photo6077892346550267345-2-2-150x150.jpg,150,150,https://cms.dailysocial.id/wp-content/uploads/2df0f5cc6e57469592da84e0b0fd4156_photo6077892346550267345-2-2-300x169.jpg,300,169,https://cms.dailysocial.id/wp-content/uploads/2df0f5cc6e57469592da84e0b0fd4156_photo6077892346550267345-2-2-825x510.jpg,825,510,sea group,sea-group,royke tumilaar,royke-tumilaar,Bank Kesejahteraan Ekonomi,bank-kesejahteraan-ekonomi,Bank Mayora,bank-mayora,,,,,,,74218,CORPORATE,corporate,,30123,,,,,,,,,,,,,,,,,,
"Xendit Klarifikasi Tidak Terlibat dalam Pengelolaan Aplikasi Bank Digital ""Nex""","Aplikasi Nex sedang dalam masa uji coba terbatas, hanya digunakan kalangan internal tanpa melibatkan Bank Sahabat Sampoerna",454761,post,xendit-klarifikasi-tidak-terlibat-dalam-pengelolaan-aplikasi-bank-digital-nex,https://dailysocial.id/post/xendit-klarifikasi-tidak-terlibat-dalam-pengelolaan-aplikasi-bank-digital-nex,publish,2022-04-27 13:34:48+00:00,false,,599,marsya,Marsya Nabila,9,Berita,news,"Berita dan informasi terbaru tentang startup, regulasi, dan ekosistem teknologi di Indonesia",30123,fintech,fintech,Xendit,xendit,NEX,nex,Bank Digital,bank-digital,digital bank,digital-bank,https://cms.dailysocial.id/wp-content/uploads/2022/04/Xendit-Founders-kiri-kanan-Juan-Gonzalez-Tessa-Wijaya-Moses-Lo-and-Bo-Chen-1-1.jpg,xendit-founders-kiri-kanan-juan-gonzalez-tessa-wijaya-moses-lo-and-bo-chen-1-2,"(ki-ka) Xendit Founders: Juan Gonzalez, Tessa Wijaya, Moses Lo, dan Bo Chen / Xendit","Xendit menyampaikan aplikasi Nex sepenuhnya dikelola oleh PT Nex Teknologi Digital. Dua pihak lainnya, PT Sumber Digital Teknologi maupun Xendit sendiri (PT Sinar Digital Terdepan) tidak terlibat dalam pengelolaan","(ki-ka) Xendit Founders: Juan Gonzalez, Tessa Wijaya, Moses Lo, dan Bo Chen / Xendit",image/jpeg,https://cms.dailysocial.id/wp-content/uploads/2022/04/Xendit-Founders-kiri-kanan-Juan-Gonzalez-Tessa-Wijaya-Moses-Lo-and-Bo-Chen-1-1.jpg,2000,1333,https://cms.dailysocial.id/wp-content/uploads/Xendit-Founders-kiri-kanan-Juan-Gonzalez-Tessa-Wijaya-Moses-Lo-and-Bo-Chen-1-1-150x150.jpg,150,150,https://cms.dailysocial.id/wp-content/uploads/Xendit-Founders-kiri-kanan-Juan-Gonzalez-Tessa-Wijaya-Moses-Lo-and-Bo-Chen-1-1-300x200.jpg,300,200,https://cms.dailysocial.id/wp-content/uploads/Xendit-Founders-kiri-kanan-Juan-Gonzalez-Tessa-Wijaya-Moses-Lo-and-Bo-Chen-1-1-825x510.jpg,825,510,bank sahabat sampoerna,bank-sahabat-sampoerna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
