,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Princeton Architectural Press,"Hudson, NY / New York City","Publisher of fine illustrated and visual books on art, architecture, design, nature, gardening, and pop culture + children's books, stationery, and puzzles",False,2022-04-11 23:59:59,"@TamraWight @knott_michele It's extra stunning in person. There's a metallic sheen to the butterflies and fish that add such a nice extra touch, and also give the cover a bit of a tactile feel. ☺️",,Twitter Web App
1,Boris 🇬🇧,Earth,Your mum wears Levi Jeans to the Gym.,False,2022-04-11 23:59:59,@AndreeSax Pronouns in bio. Opinion worthless,,Twitter for iPhone
2,minu•3•,18,"Hi..?
 taekook subunit on Christmas",False,2022-04-11 23:59:59,This update was a literal Rollercoaster ride it felt so real xjendjend https://t.co/4nQpXpM2vv,,Twitter for Android
3,John P,"Bay Area, California","Husband, Father. Truth and honesty matter.  Raiders, Oakland A's, GS Warriors; Long Beach State alum.  Save Ukraine!",False,2022-04-11 23:59:59,"@_emiliemiller @SFGiants @sfchronicle Thanks for sharing, Emilie!  It's a beautiful story.  Many of us have lost parents too early in life.",,Twitter Web App
4,Fineapple 🍍✨,,It is what it is. I don’t come here to argue.,False,2022-04-11 23:59:59,@Karywho lol could never be na could never,,Twitter for iPhone
5,CJ / Xtrion,Batcave,"Tier 3 juicer nmpRich 
and
I'm Batman, come see for yourself https://t.co/v5PyMa0rKl",False,2022-04-11 23:59:59,@Asmongold @Warcraft I think you are talking to a wall again Asmon,,Twitter for iPhone
6,Jody MacDonald,Everywhere,An award winning photographer specializing in storytelling through adventure and environmental change inspiration in the remote corners of the planet.,False,2022-04-11 23:59:59,A young Mundari man tends to his cows in a cattle camp in South Sudan. Every aspect of of the Mundari’s daily routine is revolved around caring &amp; protecting their cows. They may be the most pampered cows in the world. @gitzo_tweet @Zbyhp #Mundari #Africa https://t.co/GqcO7L7BVp,,Twitter Web App
7,🍕🍺 bot,friends bot in following,a (not main story spoiler free) dinokeith bot that posts every 30 minutes,False,2022-04-11 23:59:59,"🍕 Yeah. Back at the Academy, he’d often cook for me and Brad.
🍺 Don’t say that as if I was doing it out of my own will~ Ya kept whining all ‘’make it, make it!’’ y'know…
🍕 I mean, your cooking is super delicious",,"Cheap Bots, Done Quick!"
8,Ayles,,,False,2022-04-11 23:59:59,"#Aylesbury Weather: Wind 0mph ENE, Max 0mph. Baro 1005.9hPa, Falling slowly. Temp 12.3C, Min 12.3C, Max 12.3C. Rain 0.0mm. Humidity 69%",['Aylesbury'],Sandaysoft Cumulus
9,Tim Phares,,"Writer, baseball fan, spiritual coach, activist.",False,2022-04-11 23:59:59,"@juansotoHR Why?  Musk is a brilliant, if quirky, entrepreneur who is dedicated to advancing society and to free thought.  He knows his limitations and probably wouldn't try to run the baseball side.",,Twitter Web App
10,NEO LMS,San Francisco,A refreshingly new way to teach and learn. Sign up for the 14 day Free Trial | #LMS | #EdTech,False,2022-04-11 23:59:59,"Meet our host, Ariana! 😊

She'll be in talks with the panelists on implementing and evaluating policies and learning programs the right way.

What are you waiting for?

Sign up now! 👇

https://t.co/cBOhKyVETV https://t.co/LnCoZmwoQK",,HubSpot
11,Lawal Oluwaseun Ayodeji,,Love to make new friends,False,2022-04-11 23:59:59,@ravipromotes Good morning,,Twitter for Android
12,REoptimizer®,"Commack, NY",REoptimizer® is the world's first and most efficient #CRE Optimization Software. #CRE #CREtech #Office #Warehouse #Retail #TenantTips #TenantRep #Leasing,False,2022-04-11 23:59:59,"In a post-COVID-19 world, companies need to start focusing on workplace sustainability. In this article, we are going to explore the various ways of designing a sustainable workplace.

#CRE #TenantTips #WorkplaceDesign #Workplaces #Sustainability
https://t.co/jKLUfxrS0c",,HubSpot
13,FCW,"Victoria, Australia",Singer. Mum. Teacher. Care for people so my politics naturally lean to the left.,False,2022-04-11 23:59:59,"@ShaunLeaneMP Yeah, I do! Shame the media doesn’t seem to remember.",,Twitter for iPhone
14,jordie,"Chicago, IL","hey, yo. #JordieLovesYou #ΚΚΨ #ΑΦΑ🩸",False,2022-04-11 23:59:59,That Cody video kills me every time. It makes no sense.,,Twitter for iPhone
15,Will 🦑 CEO OF STED,he/him | 17,#OFMD 🏴‍☠️ • cosplayer • film student,False,2022-04-11 23:59:59,fang https://t.co/S3QYs65BZa,,Twitter for iPhone
16,ℝ𝕠𝕤𝕖 💙,1 Blue Jays Way,𝚏𝚘𝚘𝚝𝚢 𝚊𝚗𝚍 𝚋𝚊𝚜𝚎𝚋𝚊𝚕𝚕 • 𝚖𝚊𝚗 𝚞𝚗𝚒𝚝𝚎𝚍 • 𝚝𝚘𝚛𝚘𝚗𝚝𝚘 𝚋𝚕𝚞𝚎 𝚓𝚊𝚢𝚜 • 𝚋𝚊𝚜𝚎𝚋𝚊𝚕𝚕 𝚒𝚜 𝚏𝚘𝚛 𝚎𝚟𝚎𝚛𝚢𝚘𝚗𝚎,False,2022-04-11 23:59:59,@14twade @TYL0RMEGILL @RyanGarciaESM WHY IS THIS A THING PPL JOKE ABOUT I DON'T UNDERSTAND WHY IT BECAME A THING 😭,,Twitter Web App
17,Scum Fucker,,(23) 18+ MDNI careless 🚶🏻🖤☕️🚬straight Kinky dom/switch DM me. Or don’t,False,2022-04-11 23:59:59,@777_rose_777 Gorgeous,,Twitter for iPhone
18,우산☔️ ووسان ناموا مع بعض,WOOSAN,#에이티즈 #산 #우산 #안효섭 #نسوية #النساء_للنساء يارب حلمي يتحقق,False,2022-04-11 23:59:59,We used to sing that song saying “this song definitely won’t be us” look at “us” now…,,Twitter for iPhone
19,rameen,,🧚🏽i  mostly rant here🧚🏽,False,2022-04-11 23:59:59,istg  i think my mom is bipolar fr,,Twitter for iPhone
20,wandermaw.crypto 🏕️🟠,,"maw#8621

My life has a superb cast but I can't figure out the plot. So I'm made perfect to be a test subject 🧪 #psssdtestsubject #posse 

wandermaw.crypto",False,2022-04-11 23:59:59,"@CuriositiesNFT @Gmikes91 @seanooy @gik1212

No, I think this line art Curiosity shouldn't be added as 1/1",,Twitter for Android
21,Roderick - Where's the mystery bod?,,"he/him 31yo

white cis straight male

non-muscly, non-monogamic, non-romantic, non-420, platonic cuddling.

See my wrestling agendas below",False,2022-04-11 23:59:59,@sherantsmtl the daylight shows def had their charm.,,Twitter Web App
22,CBS Sports NBA,,"CBS covers the NBA: @sportsreiter, @outsidethenba, @ColinCBSSports, @bradbotkincbs, @jackmaloneycbs, @samquinncbs, @therealmikekb, @JasmynWimbish, @Kyle__Boone",True,2022-04-11 23:59:59,"Lakers' Russell Westbrook says he 'was never given a fair chance' in Los Angeles

https://t.co/qiOFt9Uiuu",,TweetDeck
23,kimberly Stallworth,,"Actress, Author",False,2022-04-11 23:59:59,@TerriKopp2it wrong? oh hell no!,,Twitter Web App
24,Arctic Monkeys Bot 🎸,,𝙎𝙝𝙚’𝙨 𝙖 𝙨𝙞𝙡𝙫𝙚𝙧 𝙡𝙞𝙣𝙞𝙣𝙜 𝙘𝙡𝙞𝙢𝙗𝙞𝙣𝙜 𝙤𝙣 𝙢𝙮 𝙙𝙚𝙨𝙞𝙧𝙚,False,2022-04-11 23:59:59,"Baby, I was made to break your heart / arctic monkeys",,AM-BOT2002
25,eve,,"Well, I appreciate you didn't hurry. #TedLasso",False,2022-04-11 23:59:59,"@stuckinrevmode I need a 5k essay on this alone, holy fuck",,Twitter for Android
26,Nick Bertram🔺,,Co-founder @dp3world,False,2022-04-11 23:59:59,P3s lead to the creation of the most transformative and impactful ventures in the world!,,Twitter for iPhone
27,mutt 👻,03’ gang🪐,~ i'm addicted to hyunsoo | 현수 ^__^ ♡ selective tnx fans only!,False,2022-04-11 23:59:59,@lysflwr morning,,Twitter for iPhone
28,McKay,New Zealand,"Design, manufacture, installation and maintenance of world-class electrical engineering solutions",False,2022-04-11 23:59:59,"Want to know more about electric propulsion solutions available for your marine vessel or fleet?  🛳️🌊 
Check out our range of electric propulsion services, to see how we can help you achieve a fully electric or hybrid solution⚡
https://t.co/uEU0Zl7ieN",,HubSpot
29,Pip Magazine,Australia,Australia’s #1 sustainability magazine. We’ll show you how to live lightly on the planet 🌿 Sign up to our newsletter: https://t.co/6zmG9pSNtu,False,2022-04-11 23:59:59,We reveal the 5 main ways you can make #sustainable food choices and start eating an earth-friendly diet. https://t.co/6NtksZR9m1,['sustainable'],HubSpot
