,user_name,user_location,user_description,user_verified,date,text,hashtags,source,cleaned_text
0,Youngwhitebull,,Straight young white 27 year old BULL.,False,2022-04-17 16:24:52,@sexy031118 Let's just go multiple rounds and hit all the spots!,,Twitter for Android,sexy031118 multiple round spot
1,Serenity,,Let's be moots!!,False,2022-04-17 16:24:52,@_craigebaee already done,,Twitter for Android,_craigebaee already done
2,Y so serious,,"not insane, just super-sane",False,2022-04-17 16:24:52,"@BogartBrandoMAV his defensive switch is insane, he looked godly on defense yesterday",,Twitter for iPhone,BogartBrandoMAV defensive switch insane looked godly defense yesterday
3,Tapan Kumar,,,False,2022-04-17 16:24:52,"@vlwjharkhand @HemantSorenJMM @JharkhandCMO @nisha_singhmarr Decreasing grade pay of Jansewak of Jharkhand is a complete injustice and condemnable. Dear CM Sri Hemant Soren Sir, please look into the matter personally and take requisite action to resolve the issue. Do the justice",,Twitter for Android,vlwjharkhand HemantSorenJMM JharkhandCMO nisha_singhmarr Decreasing grade Jansewak Jharkhand complete injustice condemnable Dear Hemant Soren please look matter personally take requisite action resolve issue justice
4,jesel,,Fitness motivator,False,2022-04-17 16:24:52,#happy easter 🐇🐰🐣,['happy'],Twitter for iPhone,happy easter
5,V.A.P.,België,"#Faith           



                                               I sought the Lord, and he heard me, and delivered me from all my fears. Psalm34:4",False,2022-04-17 16:24:52,@sophiadahl1 The bew nazi empire.,,Twitter for Android,sophiadahl1 nazi empire
6,Zahnow,"Saugatuck, MI","NFT Creator, Encaustic artist, and Photographer in the US. Photographer of small coffee farms around the world. #nftphotography #nftart",False,2022-04-17 16:24:52,Love BW. Gorgeous https://t.co/ci653uyv4v,,Twitter for iPhone,Love Gorgeous http //t.co/ci653uyv4v
7,☕ 🔥Cannabis-Coffee Nebula🖖😷,Arctic Shitpost Π110,"-🖖, pharmer, chef, atheist, treehugger, lesbian 
-drag king
-angry, silly, smart, stoned
-I'd vote for #HillaryClinton, again

🦄 tiny tina up in here!",False,2022-04-17 16:24:52,@MenckenWasRight @SaveAmerica206 @DrinkandKnowLLC The other stereotype here is that all white people are racist. Let's not gloss over that one.,,Twitter Web App,MenckenWasRight SaveAmerica206 DrinkandKnowLLC stereotype white people racist gloss
8,Lush omo🇿🇲🇿🇲,,"Man city💙Barça♥️💙
GoOd bOy wiTh Bad hAbbiTs
Architect 
Copperbelt University
6 ft tall",False,2022-04-17 16:24:52,@sadtidddy God damn♥️😍,,Twitter for Android,sadtidddy damn♥️😍
9,Mark Stinchcombe,✈️,Football odds compiler for European company. Tennis & Darts trader. Computer Games Programming degree. Liverpool FC supporter.,False,2022-04-17 16:24:52,@DannyT78 Talk about overthinking. Played James wing-back in his biggest ever game v Sterling in the CL final,,Twitter Web App,DannyT78 Talk overthinking Played James wing-back biggest ever game Sterling final
10,𝐌𝐢𝐧𝐲𝐚𝐧𝐠🥟,쌍문동,17 | +63,False,2022-04-17 16:24:52,I'm once again fatherless for 3 days HAHAHA.,,Twitter for Android,fatherless day HAHAHA
11,tara lal,,Teacher,False,2022-04-17 16:24:52,"Regularization is right of JESTs&amp;ECTs 2018 appointed through Sukkur IBA University.
#RegularizeJestEctSindh https://t.co/xDTAI6TC44",['RegularizeJestEctSindh'],Twitter for Android,Regularization right JESTs ECTs 2018 appointed Sukkur University RegularizeJestEctSindh http //t.co/xDTAI6TC44
12,YVE | BANDIT | WIP Healing | KO8 | (◉ ◡ ◉),"Kuching, Sarawak","Pentas poet | Here to explore, more and more. 
Journaling thoughts into anything I decided them to be.
Check out my pentas or #theyveeara 🌹",False,2022-04-17 16:24:52,@AzyanDraws I. Agree. Wholeheartedly :),,Twitter for Android,AzyanDraws Agree Wholeheartedly
13,PunkFeed,,Everything going on with the punks 🤖🤖. More coming soon. 🍳 Not affiliated with @larvalabs.,False,2022-04-17 16:24:52,"💸 Punk 5241 received an offer for 69Ξ (212,155 US$) from 0x36d636. https://t.co/qMxR0zDY2E #cryptopunks #punk5241 #punkoffer #4traits #male #shadowbeard #silverchain #hornedrimglasses #dorag","['cryptopunks', 'punk5241']",Cryptopunks Feed,"Punk 5241 received offer 212,155 0x36d636 http //t.co/qMxR0zDY2E cryptopunks punk5241 punkoffer 4traits male shadowbeard silverchain hornedrimglasses dorag"
14,The DEEP Marcellus,UpUpUpper Marcellus,Living on Gucci gas #EFT #CanadianOilMafia,False,2022-04-17 16:24:52,@peterdevietien @IlliniProgrammr Once again Pete…I will take this opportunity to point out that the fate of our Republic was largely sealed by the passage of the 17th Amendment. The begining of the end.,,Twitter for iPhone,peterdevietien IlliniProgrammr Once Pete…I take opportunity point fate Republic largely sealed passage 17th Amendment begining
15,wqy,,,False,2022-04-17 16:24:52,@peterdevietien @IlliniProgrammr Once again Pete…I will take this opportunity to point out that the fate of our Republic was largely sealed by the passage of the 17th Amendment. The begining of the end.,,Twitter for iPhone,peterdevietien IlliniProgrammr Once Pete…I take opportunity point fate Republic largely sealed passage 17th Amendment begining
16,Puffball Art 'n' Stuff,,"🏳️‍⚧️🏳️‍🌈 He/they/she Hey, you can call me Puff! Autistic animator and illustrator!",False,2022-04-17 16:24:52,If I was a fox born with two tails living my best life and then some big shot hedgehog started calling me tails I would be fucking enraged,,Twitter for iPad,born tail living best life shot hedgehog started calling tail would fucking enraged
17,Dwight Houweling,,foo += 1,False,2022-04-17 16:24:52,@bwolman @pham_tin @femeninna Quite right.,,Twitter for iPhone,bwolman pham_tin femeninna Quite right
18,koo,she/her | kyne ,loving and praising jungkook is the only purpose of my life.,False,2022-04-17 16:24:52,@googieisreal @rabitgguk97 me too 😏,,Twitter for iPhone,googieisreal rabitgguk97
19,ian chantrell,,,False,2022-04-17 16:24:52,Easter Sunday pt 2 https://t.co/Yasp3yC2UL,,Instagram,Easter Sunday http //t.co/Yasp3yC2UL
20,Madiha Rathore,"Baden-Württemberg, Germany",#Pakistani 🇵🇰🇩🇪,False,2022-04-17 16:24:52,"@ImranARaja1 I think action speak louder than words
 #امپورٹڈ_حکومت_نامنظور #امپورٹڈ_حکومت_نامنظور #امپورٹڈ_حکومت_نامنظور #امپورٹڈ_حکومت_نامنظور","['امپورٹڈ_حکومت_نامنظور', 'امپورٹڈ_حکومت_نامنظور']",Twitter for Android,ImranARaja1 think action speak louder word امپورٹڈ_حکومت_نامنظور امپورٹڈ_حکومت_نامنظور امپورٹڈ_حکومت_نامنظور امپورٹڈ_حکومت_نامنظور
21,Loans Connoisseur,Kenya,"Actuary, ARSENAL FAN,Social and Political Commentator, Business,",False,2022-04-17 16:24:52,"@kilundeezy Sasa ulikua unakaa aje surely, for me I always and will always find tucked in, tie tied up, shoes official and blazer very neat... Hii hapana",,Twitter for Android,kilundeezy Sasa ulikua unakaa surely always always find tucked tied shoe official blazer neat hapana
22,"GW, MD","Kentucky, USA","Christian, Husband, Father, Family Practice Physician, Patriot, 2A supporter, #MAGA🇺🇸 GETTR: @Porterguy1",False,2022-04-17 16:24:52,@CryptoSangheili Certainly should be a staple of the treatment.,,Twitter for iPad,CryptoSangheili Certainly staple treatment
23,8,Toulouse,@OM_Officiel • @ManCity • FC Gerson 🙅🏾‍♂️🇧🇷,False,2022-04-17 16:24:52,@_BeFoot @FabriceHawkins Onlesmange,,Twitter for iPhone,_BeFoot FabriceHawkins Onlesmange
24,𝔖𝔬𝔭𝔥🦇🎃,Cornwall,23 | book and coffee obsessed | moonchild 🌙 CR: serpent and dove 🕊,False,2022-04-17 16:24:52,March illumicrate unboxing 🖤https://t.co/VfeJmEprtQ,,Twitter for iPhone,March illumicrate unboxing 🖤https //t.co/VfeJmEprtQ
25,Sky Fong 🔥,"Selangor, Malaysia","- Eurobeat enthusiast 
- DMC gamer",False,2022-04-17 16:24:52,"@markgonautnui It really is, seeing this is their first and last Apex tourney. Hopefully, they still will collab, doesn't have to be Apex.",,Twitter Web App,markgonautnui really seeing first last Apex tourney Hopefully still collab Apex
26,Prudy 1️⃣0️⃣3️⃣🏆💜🖤,,I mostly tweet about #Motorsports #Tennis. Can't hide my love for @MercedesAMGF1 and @LewisHamilton 🖤💜 @SerenaWilliams @RogerFederer #f1,False,2022-04-17 16:24:52,"@MercedesAMGF1 Hmmm, such a short video yet it has sent me on a thinking spree😅 anyway happy Easter Team🤍",,Twitter for iPhone,MercedesAMGF1 Hmmm short video sent thinking spree😅 anyway happy Easter Team🤍
27,Danny 🌙,,"Gay as fuck 🏳️‍🌈, Cancer, Happily taken 💕, coffee and music, gaymer, Black Lives Matter, Scream fan, horror fan, cat dad, he/him, JoJo retweeted",False,2022-04-17 16:24:52,@screamsourcee They are both in my top 3 with Mrs Loomis 2nd and Amber 3rd. Mrs Loomis is a great mastermind and Amber carried Richie throughout Scream 5. I believe together they would have been unstoppable together,,Twitter for iPhone,screamsourcee They Loomis Amber Loomis great mastermind Amber carried Richie throughout Scream believe together would unstoppable together
28,veejayrex💕.NEAR,,"website designer, freelancer , Fashiondesigner, model, business minded , NFT Marketer.",False,2022-04-17 16:24:52,@solgiyuu @chestfinance Let’s go pirates 🚀🚀🚀🥰,,Twitter for iPhone,solgiyuu chestfinance pirate 🚀🚀🚀🥰
29,True Human,,"Entrepreneur, Shiva devotee",False,2022-04-17 16:24:52,@theamarjeet @Shreedha__ No worries AJbhai. https://t.co/rlPXzrCS0v,,Twitter for Android,theamarjeet Shreedha__ worry AJbhai http //t.co/rlPXzrCS0v
30,s 🥀,she/her + early 90s,new buying account 🦋 semi stan account | both for GOT7 and a little bit of everyone else,False,2022-04-17 16:24:52,@BamBam1A @dnaofficial Whut??,,Twitter for Android,BamBam1A dnaofficial Whut
31,Jablonski B,,guy,False,2022-04-17 16:24:52,i suck at gd,,"Cheap Bots, Done Quick!",suck
32,sera, 🧕🏽,what is this lump of white sugar,False,2022-04-17 16:24:52,timeless hit https://t.co/P5QmHmOEMU,,Twitter for iPhone,timeless http //t.co/P5QmHmOEMU
33,Mark Bromley,,"Been having my heart broken by Wolverhampton Wanderers since being taken for the first time at the age of 4! Be happy & smile everyone, life isn't a rehearsal.",False,2022-04-17 16:24:52,"@henrywinter I hope Southgate goes with Reece James on the right of a back three and TAA at right wing-back in Qatar, Henry.",,Twitter for Android,henrywinter hope Southgate go Reece James right back three right wing-back Qatar Henry
34,Natalia,Kyiv 🇺🇦,Я не русофоб. Я їх не боюся. Я їх ненавиджу. Це не фобія.   Я мізорос.,False,2022-04-17 16:24:52,"Prez #Zelensky invited Prez @EmmanuelMacron 🇫🇷 to #Ukraine: he wants him to see with his own eyes the atrocities of the #Russian military and finally understand that this is not just a war, but the #genocide of the #Ukrainian people…Bienvenue en Ukraine, Monsieur le Président 🇺🇦 https://t.co/5RQ4ctenwg","['Zelensky', 'Ukraine']",Twitter for iPhone,Prez Zelensky invited Prez EmmanuelMacron Ukraine want eye atrocity Russian military finally understand genocide Ukrainian people…Bienvenue Ukraine Monsieur Président http //t.co/5RQ4ctenwg
35,AllotmentSlim,Southeast London,Allotment Slim does not work on an allotment. Musician. Husband. Father. Son. NHS employee. Dislikes hipsters and dinner party atheism. Likes South East London,False,2022-04-17 16:24:52,@captdarlin @CrowleyOnAir @sparkystone95 @RobertoFerdenzi @paulwellerHQ @PBruniges @andytheblackca1 @andyjcrofts @TheMumper Looks like hes playing bass for a 90s guitar band Stu!,,Twitter for iPhone,captdarlin CrowleyOnAir sparkystone95 RobertoFerdenzi paulwellerHQ PBruniges andytheblackca1 andyjcrofts TheMumper Looks like playing bass guitar band
36,Zubaida Shah Afridi,Pakistan,Pakhtana #ImranKhanPrimeMinister,False,2022-04-17 16:24:52,"@Parsaa_63 no, it’s better to chose loneliness over toxic friendship &amp; relationship.",,Twitter for Android,Parsaa_63 better chose loneliness toxic friendship relationship
37,Marko 💖🎀,"Cainta, Calabarzon",Mannered. Cultured. Domesticated.,False,2022-04-17 16:24:52,You will always be my baby.,,Twitter for iPhone,always baby
38,bina,,✨sad✨,False,2022-04-17 16:24:52,@casualcalla She’s just trying to smoke her stress away,,Twitter for iPhone,casualcalla trying smoke stress away
39,Melissa Bogdanović 🇺🇦,Utah,Mom of 2. UtahJazz/Utah Utes. Bojan Bogdanović fan acct. (she/her) #LLTJ #LLAL #LL22,False,2022-04-17 16:24:52,@Dinwoodey6 He was awful in the first half. I agree with this tweet. He's not gonna get what he has here many places. The tweet in' t wrong.,,Twitter for iPhone,Dinwoodey6 awful first half agree tweet many place tweet wrong
