Title,Title_URL,Image,daymonth,Author_URL,Author,Comment,View
Xiaomi Mi Band 7 Janjikan Layar Lebih Besar 25%,https://gizmologi.id/news/xiaomi-mi-band-7-janjikan-layar-lebih-besar/,,21 Mei,https://gizmologi.id/author/sarifah/,Siti Sarifah A,0, 101 
"Penampakan Tablet realme Pad X 5G, Ada Pensilnya",https://gizmologi.id/news/penampakan-tablet-realme-pad-x-5g-ada-pen/,,21 Mei,https://gizmologi.id/author/sarifah/,Siti Sarifah A,0, 107 
Google Menghapus Jumlah Pengguna Android 12?,https://gizmologi.id/news/pengguna-android-12/,,21 Mei,https://gizmologi.id/author/chawir/,Chandra Wirawan,0, 107 
Kantor Pusat Nikkei Group Asia di Singapura Dapat Serangan Siber,https://gizmologi.id/news/serangan-siber-singapura/,,21 Mei,https://gizmologi.id/author/chawir/,Chandra Wirawan,0, 117 
"Berlisensi Bappebti, Pluang Tawarkan Investasi Emas Digital",https://gizmologi.id/news/pluang-tawarkan-investasi-emas-digital/,,20 Mei,https://gizmologi.id/author/aditya/,Aditya Fajar,0, 151 
"Perkuat Ekosistem Digital, Huawei Tingkatkan Kontribusi di Indonesia",https://gizmologi.id/news/huawei-perkuat-ekosistem-digital/,,20 Mei,https://gizmologi.id/author/aditya/,Aditya Fajar,0, 142 
Mastercard Gandeng Ayoconnect Hadirkan Open Banking di Indonesia,https://gizmologi.id/news/fintech/mastercard-ayoconnect-open-banking/,,20 Mei,https://gizmologi.id/author/aditya/,Aditya Fajar,0, 164 
"Telkomsel dan Kredivo Hadirkan Layanan Utang PayLater, Limit Hingga Rp30 Juta",https://gizmologi.id/news/telco/kredivo-telkomsel-paylater/,,19 Mei,https://gizmologi.id/author/mrbambang/,Bambang Dwi Atmoko,0, 161 
Pelanggan IndiHome Berkesempatan Nonton NCT Dream & Red Velvet di Allo Bank Festival,https://gizmologi.id/news/pelanggan-indihome-allo-bank-festival/,,19 Mei,https://gizmologi.id/author/mrbambang/,Bambang Dwi Atmoko,0, 184 
"Masuk ke Indonesia, EdgeConneX Bangun Pusat Data Hyperscale di Jakarta",https://gizmologi.id/news/edgeconnex-pusat-data-hyperscale-di-jakarta/,,19 Mei,https://gizmologi.id/author/aditya/,Aditya Fajar,0, 183 
Hore! Pengguna OPPO Find X5 Pro Bakal Dapatkan Update Android 13 Beta 1,https://gizmologi.id/news/oppo-find-x5-pro-dapatkan-update-android-13-beta-1/,https://gizmologi.id/wp-content/uploads/2022/05/DSC09706-Copy-390x220.jpg,19 Mei,https://gizmologi.id/author/mrbambang/,Bambang Dwi Atmoko,0, 177 
