Title,Title_URL,Image,Date
Kronologi Pembunuhan Pria yang Mayatnya Dibuang ke Kali Pesanggrahan,https://www.idntimes.com/news/indonesia/irfanfathurohman/kronologi-pembunuhan-pria-yang-mayatnya-dibuang-ke-kali-pesanggrahan,,"
                            
                            30 Jun 22 | 16:56
                        "
Ferdinand 'Bongbong' Marcos Resmi Jadi Presiden Filipina,https://www.idntimes.com/news/world/sonya-michaella/ferdinand-bongbong-marcos-resmi-jadi-presiden-filipina,,"
                            
                            30 Jun 22 | 16:38
                        "
Puan Beri Cokelat ke Pimpinan Banggar yang Jatuh di Hadapannya,https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/puan-beri-cokelat-ke-pimpinan-banggar-yang-jatuh-di-hadapannya,,"
                            
                            30 Jun 22 | 16:34
                        "
"Rappler Dibredel, Maria Ressa: Saya Tetap Optimistis",https://www.idntimes.com/news/world/sonya-michaella/rappler-dibredel-maria-ressa-saya-tetap-optimistis,,"
                            
                            30 Jun 22 | 16:27
                        "
"Heboh Ganja Medis, Guru Besar UGM Ungkap Penggunaannya untuk Obat ",https://www.idntimes.com/news/indonesia/dini-suciatiningrum/heboh-ganja-medis-guru-besar-ugm-ungkap-penggunaannya-untuk-obat,,"
                            
                            30 Jun 22 | 16:19
                        "
"Ricuh, Massa Geruduk Kantor KPU RI",https://www.idntimes.com/news/indonesia/yosafat-diva-bagus/ricuh-massa-geruduk-kantor-kpu-ri,,"
                            
                            30 Jun 22 | 16:07
                        "
"Cuaca Jabodetabek 1 Juli 2022: Jakarta Cerah Pagi Hari, Cerah Sore Hari",https://www.idntimes.com/news/indonesia/timmy-si-robot/cuaca-jabodetabek-1-juli-2022-jakarta-cerah-pagi-hari-cerah-sore-hari,,"
                            
                            30 Jun 22 | 16:00
                        "
"Pimpinan Banggar Jatuh di Depan Puan saat Paripurna, Begini Kondisinya",https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/pimpinan-banggar-jatuh-di-depan-puan-saat-paripurna-begini-kondisinya,,"
                            
                            30 Jun 22 | 15:51
                        "
,,,
Jokowi Dianggap Jadi Bintang Saat Hadiri KTT G7 di Jerman,https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/jokowi-dianggap-jadi-bintang-saat-hadiri-ktt-g7-di-jerman,,"
                            
                            30 Jun 22 | 15:48
                        "
